Name,Address,Cuisine,Attire,Description,Website,Image_URL,Latitude,Longitude
The Penthouse,"1111 2nd St, Santa Monica, CA 90403",New American Beachy,Chic,"Tuna crispy rice is perfect for an appetizer, but it might only be available for lunch. During a clear day, you can see the whole beach and the water is gorgeous, and at night the skyline is incredibly gorgeous. Duck L'Orange is beautifully presented, have an espresso martini for dessert instead of the souflee- I've been tricked before. ",https://www.penthouserestaurant.com,https://lh3.googleusercontent.com/p/AF1QipPRDeBWA9zlidyarX46s2rW6xINzpOd7b_N0c3l=w289-h312-n-k-no,,
Tower 12,"53 Pier Ave, Hermosa Beach, CA 90254",Bar,Jeans and a going out top,"Never eaten here either, but this is the place that I run into everyone from highschool at. Every time, regardless of time of year. Something special about their Cosmo, but too many might have you asking, ""Why didn't we date again?"" to the people you really should not be asking that. ",https://tower12hb.com,https://lh3.googleusercontent.com/p/AF1QipNMSbnRkCrFUaxBmAbTg8sOSWuOvh4SAXidJYB2=w289-h312-n-k-no,,
Redondo Beach Brewing Company,"1814 S Catalina Ave, Redondo Beach, CA 90277",Casual,Any,"Great lunch spot, especially if it's warm enough to eat outside. Chinese chicken salad, tossed in the kitchen, with extra dressing on the side and a crispy Diet Coke and the sunshine helps make it the perfect place to have a pit stop while walking around the Riviera. ",https://www.redondobeachbrewco.com,https://lh3.googleusercontent.com/p/AF1QipN5zxBYHenIA117SDb9pi_52cUUoRmIay85FQxe=w289-h312-n-k-no,,
Rebel Republic Social House,"1710 S Catalina Ave, Redondo Beach, CA 90277",Bar,Any,"Never eaten at this spot either, but their seasonal cocktail menu is always fun and the most interesting people in Redondo tend to congregate here. Two drink max- otherwise the price on your tab might shock you. ",https://www.rebelrepublicsocialhouse.com,https://lh3.googleusercontent.com/p/AF1QipN51h0bh0H9n5iqKkipDkuvYJMMlMARf5TsdIUv=w289-h312-n-k-no,,
Riviera House,"1708 S Catalina Ave, Redondo Beach, CA 90277",New American Beachy,Casual,"Start with a Scarlet Letter or a Killjoy, share the Poke Nachos or the Coconut Shrimp and try the Fish and Chips. No need for dessert here, or throw in a third app (Coconut Curry Mussels- yum!) and keep it light! Great patio space and beachfront vibes. ",https://rivierahouserb.com,https://lh3.googleusercontent.com/p/AF1QipM8LtElSWA7TvePli64EiYU4tEFH6Hti_BAM_0q=w289-h312-n-k-no,,
Rockefeller,"1707 S Catalina Ave, Redondo Beach, CA 90277",New American Beachy,Nice-Casual,"There's a reason The Obvious Choice is named that. A bright, fresh, subtly sweet cocktail starts the perfect background to some fabulous Ahi Wonton Nachos that are individually put together (this is important to me specifically so I'm including it). If you're there for lunch, the Healthy Steak Salad is light and refreshing, but for dinner he Crispy Chicken Sandwich is incredible with a side of the Truffle Fries. As far as their wine selection, I've gotta reccomend a glass of the Daou Sauvvy B with any of the above. ",https://www.eatrockefeller.com,https://lh3.googleusercontent.com/p/AF1QipO4zZk3LmNLClgKIPv2l3Jhn0ugB7gF91WaeYq5=w289-h312-n-k-no,,
Good Stuff,"550 Deep Valley Dr #151, Rolling Hills Estates, CA 90274",Diner,Any,"A chain of diners around the South Bay, it just depends where you are in the area. This location is usually the least full, and there's a nice scenic drive up there. For breakfast, the California Quesadilla is great, and the Loco Moco is one of the best outside of Hawaii I've ever had. For lunch, the Chase's Fried Chicken wrap with Fries is INCREDIBLE and somehow magically gluten free if you're into that sort of thing.",https://eatgoodstuff.com/palosverdes/,https://lh3.googleusercontent.com/p/AF1QipPYRSaZL6eOObJgiQwOM4Y3ZErYpvFLddqBev1-=w289-h312-n-k-no,,
Nelson's,"100 Terranea Way, Rancho Palos Verdes, CA 90275",Fish,Nice-Casual,The Ceviche or the Ahi Poke Bowl are so fresh and if you're lucky enough to be there during whale watching season they feel like the bait that's drawing them closer. The Fish and Chips are fresh (the oil tastes clean which is another weird thing to say but it's important) but the Spicy Chicken Sandwich is also a big hit (I get no cheese). Grab a glass of Whispering Angel (or two!) and enjoy the cliffside view.,https://www.terranea.com/dining/nelsons/menus,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerH2KXEkdM9l_cH0FWkNh4V7LFDV4erKjA1xRQo2iqLl5j0EPIso0ptbUWt0rzOB_QUHTBeUZ2E9kwJhVLcJMAXWwt0s8tbGluy1l8a371ISFz4_nB16WOvmQNUhEydyIb6aX1SAlY5JMI=w289-h312-n-k-no,,
Mar'Sel,"100 Terranea Way, Rancho Palos Verdes, CA 90275",Upscale New American,Resort nice,"Before a dinner here, I had never had a homemade English Muffin. It changed my life- and that's just the free bread. The burrata was incredible, the Carpaccio even better, and the Porcini risotto was a little unmemorable. I'd trade that in for the Ragu di ""Carni Bianche"" which I only had one bite of but I wanted more. The Pavlova is an incredible end to a meal there, and the atmosphere elegant and refined.",https://www.terranea.com/dining/marsel,https://lh3.googleusercontent.com/p/AF1QipPLYqaaX7Rwg3IWVoY2ljI8a-goIKoAV-CfJVOW=s1360-w1360-h1020,,
The Hare,"1800 E Broadway, Long Beach, CA 90802",Bar,Jeans and a going out top,"I'd call this more of a dive bar than anywhere else on this list, but it's a great place to end the night. Floors are slightly sticky, clientele is all locals, but it's a neighborhood type of place. Nothing immensely special, but a place where you'll still feel at home. ",https://www.theharelb.com,https://lh3.googleusercontent.com/p/AF1QipMFQ33hjSfT9pbK2E1V3WKhCjELQbNIuoth5UB9=w141-h235-n-k-no-nu,,
Saint & Second,"4828 2nd St, Long Beach, CA 90803",New American,Chic,"Bone marrow. Parker House Rolls. French Onion Soup. 100 Layer Lasagna. You'll have to roll out of there. Fun on a weeknight, definitely get a reservation either way, the wait can be brutal. And for good reason",https://www.saintandsecond.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo3J9V6EwsBmnOh7bN84y7UIhwqU7nTtnxVyWCGqMnkDJVbMOXdZE1WapZY75UkA0Cyw3wK3mMGo_xGIf9uyjhwefpyJoTJ3f1g-EYtaQ6-BDSkxk3W667vjDSv5wf08LdwRc4ECWEzkA-A=w289-h312-n-k-no,,
The Second Owl,"5272 2nd St, Long Beach, CA 90803",Thai,Nice-Casual,"The Kao Soi curry from here still haunts my dreams. It's silky, spicy, and the meat in it is tender. It's truly a fabulous place.",https://thesecondowl.square.site/?location_id=LTT7R199BWJXY&fulfillment=PICKUP,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerD__eHh1-PmQjh_itZYFsWcuNSDIKX9JIZ72BZ-ziWHhsCgshLsf_aeIzvpRvpLkzgx8UiTfQy6-kcl6wm3rfbI3FD1S-76o2PQC7zqrfIpP6SMuTNjDfApm1yzu3utroF1pnM6N0Jo9pN=w289-h312-n-k-no,,
Marlena,"5854 E Naples Plaza, Long Beach, CA 90803",Greek,Chic,"Start with the Bianco bread, but the pizzas are the star of the show. My top two are definitely the spicy salami and the blue oyster mushroom- the crust is thin, there's a little bit of char on the crust, and it compliments the atmosphere perfectly. If you MUST have something green then get some of the olives from the starter menu. I have it on good authority the olive oil is great to dip the bread into, but I can't vouch because I don't like olives.",https://www.marlena-longbeach.com,https://lh3.googleusercontent.com/p/AF1QipOOu_GtW0lix-mwVHr4HWAj_iAEK-0iimiD-ER3=w289-h312-n-k-no,,
BOA,"9200 Sunset Blvd, West Hollywood, CA 90069",Steakhouse,Fancy but not black tie,"I've said it once, and I'll say it again: I'm a sucker for a Parker House Roll, and these are some of the best. The Hamachi Crudo is so fresh and clean, and a hidden gem would definitely be the Goat Cheese Baklava. When I was here, we did family-style dining with a couple of their steaks, but by far the best was the 6666 Ribeye. It's some sort of special collaboration but it is incredible. The wagyu was the same as any other steakhouse, but the twice baked potato with caviar was a little too rich for my blood. I'd drift toward a steak hedre, but I'm sure that the seafood is good too.",https://www.boasteak.com/west-hollywood-location/,https://lh3.googleusercontent.com/p/AF1QipP287PkW0bhtKbDl5mj9a1DflAl0E2pL283JrDb=w289-h312-n-k-no,,
Eddie V's,"2101 Rosecrans Ave, El Segundo, CA 90245",Steakhouse,Fancy but not black tie,"I'm a sucker for a mule of any sort, so please believe me when  say that the Pomegranate Mule is a spectacular feat. Because I'm picky, I get it with Grey Goose, but if you like Tito's I'm sure that's good too. This is one of the only places I'll get oysters on the half shell, but it's because their cocktail sauce is so incredible. The oysters are basically a vessel for it because it's so good. I'd encourage splitting the Bone-In Ribeye with the Au Gratin Potatoes and the Grilled Asparagus and do your best to not pop a button on your pants. ",https://www.eddiev.com/locations/ca/el-segundo/el-segundo/8526,https://lh3.googleusercontent.com/p/AF1QipPhTv7p0_Qjg5-CMDrigmlFqHOslULxWJQ2lzn8=s1360-w1360-h1020,,
Flemming's,"2301 Rosecrans Ave #1125, El Segundo, CA 90245",Steakhouse,Fancy but not black tie,"The crab cakes are absolutely to die for, and so is the Carpaccio. Something about the sauce drizzled on the top just melts with the thin beef in your mouth and you ascend to the heavens. I'd recommend wholeheartedly getting the garlic butter mushroom topper with whatever steak you choose, because it makes it entirely succulent and earthy. The Short Rib is rich and perfect for the winter, but keep in mind that richness because you'll need to save room for one of the most fabulous glasses of Sauterns at the end (Chateau Climens just in case you get lost).",https://www.flemingssteakhouse.com/locations/ca/el-segundo,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoe8q44QEnSJMrjdC4jDKEToumXMpD2Ijq3Y0HBoGkduUdCnKnQqQx2IdLlhnYp8-Sc5Bd1cJ-xDJL6ris-EfSCFi4-KSGphWh7sO3NHCS1F2DScEiQo-lj3GaNL_DZAMfnrBUjFjuM8Sqz=s1360-w1360-h1020,,
Sugarfish,"304 12th St, Manhattan Beach, CA 90266",New Chinese,Very chic,"Be adventerous. Go for the ""Don't think. Just Eat. Trust Me."" and let it take you on the most spectacular omakase journey at one of the most reasonable prices I've seen in a while. Not for the faint of heart though, as I was exposed to fresh uni for the first time here and while that particular piece I would not enjoy again I'm sure other people will like it.",https://sugarfishsushi.com/locations/manhattan-beach/,https://lh3.googleusercontent.com/p/AF1QipNOwukoKk-6hj6y-cObg1nWtXW5zKU8lERq6_OX=s1360-w1360-h1020,,
Crustaean,"468 N Bedford Dr, Beverly Hills, CA 90210",Vietamese and Fish,Nice,Completely bypass half the menu and head for the secret section at the bottom. Ask your server very nicely to do an order of the crab out of the shell WITH the famous garlic noodles. Acompany it with the Wagyu Fried Rice (the pineapple is so pleasant and tart) and the Ginger Sea Bass. Highly reccomend the incredible Coconut Margarita with a black salt rim- it had some sort of fancy name that's escaping me right now.,https://www.crustaceanbh.com,https://lh3.googleusercontent.com/p/AF1QipOFhTVa6s0xmvUbG0CcT1J7inIq2-UBHQ2R1X7F=w289-h312-n-k-no,,
CUT,"9500 Wilshire Blvd, Beverly Hills, CA 90212",Steakhouse,Fancy but not black tie,"There are a few of these too, but I've never had as much fun at them as I have at this location. Maybe it's the staff, maybe it was the company, but this is a CUT above the rest (ha get it) and especially convienent if you're staying in the Beverly Wilshire Hotel, where it's located. Or, if you're just feeling boujee. ",https://wolfgangpuck.com/restaurants/cut-beverly-hills/,https://lh3.googleusercontent.com/p/AF1QipOTIEN9c160ZegNJb7vAVi-hLmGKsc3fytwJTcK=w243-h174-n-k-no-nu,,
Bacari,"9601 Brighton Way, Beverly Hills, CA 90210",Mediterrenean,Nice,"There's too many good things on this menu to just point to a few things, but I will anyway. The Lamb Hummus is incredible, as are the Shawarma Tacos, but one of the best is the street corn. If it's warm enough to sit outside, go for it. The people watching is out of this world.",https://www.eatwithbacari.com/beverly-hills,https://lh3.googleusercontent.com/p/AF1QipMczgGaYrCtqC9NNI5jWAhLXjKuvJMqKhy8QSvB=w289-h312-n-k-no,,
Mastro's Ocean Club,"246 N Canon Dr, Beverly Hills, CA 90210",Fish,Fancy but not black tie,"There's a handful of these, but this location is only second to the location in Las Vegas. The Sea Bass might be the best thing on the menu because it's so simply done, there's not a fancy sauce to hide behind, just the crisp taste of the fish and the buttery texture of the sea bass in the first place. The Butter Cake is worth getting, but it is very rich at the end of the meal and unfortunately does not travel very well. ",https://www.mastrosrestaurants.com/location/mastros-ocean-club-la/,https://lh3.googleusercontent.com/p/AF1QipPX2JE3IKnIcbusYo-ujO_RDlq6KMG2kmrc3Pq7=s1360-w1360-h1020,,
Circa 55,"9876 Wilshire Blvd, Beverly Hills, CA 90210",Upscale New American,Nice,"I'd recommend this place for their clean breakfast smoothies, juices, and health-food options. It feels like somewhere out of a wellness retreat (with a stunning view) but their pancakes are to die for. Get all the toppings on the side though, beause it's too much alltogther. But, share them with the table if you need something savory too.",https://www.hilton.com/en/hotels/laxbhhh-the-beverly-hilton/dining/circa-55-rooftop-restaurant-lounge/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQoCuJvh1mBxr8irKAGMHBg1F5Z5_Jwcl8hrEP0i_Ck4UqEnQN7p-IOluDUymomafLmjhkJghtj4ZgSHeYA95w8tlMLW6XSuV4xh0BEaOcf31n2yaGNNvInbPg9Iaum7AFjwIv=w289-h312-n-k-no,,
Bar Noir,"140 S Lasky Dr, Beverly Hills, CA 90212",Bar,Jeans and a going out top,"This is one of the best-kept industry secret bars. It's a quieter place to go, in a boutique hotel in Beverly Hills, and a very popular spot for wrap parties for the studios down the way. It's dark, moody, and the drinks are very well crafted. They're also one of the only bars that I know of that does an absinthe tasting, which is a perfect ""I did it once"" type of experience!",https://www.facebook.com/p/Bar-Noir-Maison-140-Beverly-Hills-100068586385148/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSeFqKussL45V9gIRhMA4MUtOTB_YKWHGBF8KCdvezNCykJN123uOSb9FkQqd0KEF2Mepq3zCuhz6JqYDbriuBVe5RNgRMq1WMQdZdWvNciyM06zcSrlUjwe_4eDfySFlKRETtgk7XhySH=s1360-w1360-h1020,,
Tartine,"3921 Sunset Blvd, Los Angeles, CA 90029",Bakery,Any,"It's rare that I find a good club sandwich ouside of a diner, especially one at a place that looks as pretty as Tartine. The Turkey Club is somehow out of this world, and it's honestly even better for breakfast if you add an egg. This would by no means be a light meal, though it might if you end up with one of the salads that I'm sure is tasty enough. ",https://tartinebakery.com/los-angeles/silverlake,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9Y6kJ_rFfG7pxOVlz6L4VBzWpC6GMlZHFoRypFl5k2hzdzTBiW5LhUAQ-T27gdAwlrmcRQy4pODl5KF4-X5KRxuGWvr9P10NcPcvRGjksJ4AjMx-nL8L663scIPqF-p6NVqmU=w243-h174-n-k-no-nu,,
Nobu,"22706 Pacific Coast Hwy, Malibu, CA 90265",Fish,Very chic,"Yes, I know this place is for the influencers. Go during lunch when the view of the beach and the water is at its peak, and you won't regret it. Go for the Yellowtail and Jalapeno, skip the Toro Tartare, but trade it in for the Seaweed Salad. The Spicy Tuna Crispy Rice will not be presented in the way you would expect, for better or for worse, but the Wagyu Tacos exceed expectations. The Black Cod is a staple for a reason, and the Affogato with specifically the Black Honey Gelato is incredibly memorable. Make sure the phone eats too- you've gotta fit in somewhere.",https://www.noburestaurants.com/malibu/nobu-malibu-japanese-restaurant-bar-and-lounge,https://lh3.googleusercontent.com/p/AF1QipN57l5b2TnWLaOSrYP-5NWFXGUnGYO9TbcXYjjl=s1360-w1360-h1020,,
Big Nick's,"1110 N Gaffey St, San Pedro, CA 90731",Pizza,Any,"This is the perfect pizza place for takeout, but if you're going to get anything else then I'd eat in. It doesn't usually travel well. The BBQ Chicken pizza has one of the best thin BBQ sauces that's sweet, vinegary, and just a little spicy but it soaks into the crust for one of the most tantalizing experiences. My dad vouches for their meat-lovers pizza, but somehow I never get to have a piece of that. ",https://www.bignickspizza.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKeddqFaXwApjxmuv6hV0Jb_ai8gvOT59A0xrbwk2NryZScPtkCGy_SdwqPNVhn4JUAsAwIRTftkrfNl1NFdiJfNToPczf2rztfpvKalPVML1fvimPd9eFEFZNsZV5GIZ1tGOrT_w1ZJQ=w289-h312-n-k-no,,
Golden Pheasant,"1077 W Carson St, Torrance, CA 90502",Chinese,Any,"Currently, this spot is temporarily closed. However, if it's after March 9th, then make a beeline for this place before everyone else realizes it's open again. Their wonton soup is the most comforting thing that I've ever eaten, and the Mongolian Beef is so thinly sliced it's almost paper thin. If you must have something green, the Sauteed Chicken with String Beans has a deliciously garlicky and tangy sauce. If noodles are more your thing, the BBQ Pork Pan Fried Noodle is mouth-watering. The menu is like the Cheesecake Factory- it's pages and pages of things that are all delicious. The only thing I'd not get tricked by is the Sizzling Rice Soup, because the rice just gets soggy after a while. ",https://www.instagram.com/thegoldenpheasant/?hl=en,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqju_RuoHpoT5F8sF0p5MXYdd7uPMMR0Gbo4VmqUJl23nA6A8ElxU96KgqIIwpYDZ0j27L86X2K38AmKXVk5gCjNL8reQ4RnKBm6YneBU-5kfIOt81PHvePcwdjFYGwD50WJc=w243-h406-n-k-no-nu,,
Totoyama Sushi,"6201 Hollywood Blvd Suite 118, Los Angeles, CA 90028",Sushi,Chic,"This is an intimate, warm sushi restaurant. The chef is right there, and will tell you about anything you want to hear. If the place is empty enough, you can ask him about his early days and there's a few interesting stories there. The sushi is fresh, clean, and all very well put together. It's a short walk to the Hollywood Pantages Theatre, and if you're catching a matinee it's the perfect prequel. Make a reservation there though, just in case.",https://www.totoyamasushi.com,https://lh3.googleusercontent.com/p/AF1QipM1YqCCNegwLYIJPG-D9wODRSrIS7yKEA0yhTqi=w289-h312-n-k-no,,
Slice and Pint,"601 N Pacific Coast Hwy, Redondo Beach, CA 90277",Pizza,Any,"I love that you can get a couple slices and a pint here for a reasonable price. They have interesting rotating selection that you can get individually, but they also have a curated list of phenomenal pizzas that changes every day. The beer here is all from local breweries around Redondo, El Segundo, and Manhattan Beach. It's a truly local place that has high ceilings and a little bit of an industrial vibe. Plus- consistent 80s music. ",https://www.thesliceandpint.com/menu/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuyajkmiTmzvEBQp_s0kYlBASA_45Y4LaV2EDOiA8pDm-ks30nEShMNi_fHGe3ISrOgJkU1daA02ZXpyQJRFrbWHi-Zs002bvrCTkV9yyDiCoZ0wR8U4fxbg4sSzZ9lc_YtjFgbg=w289-h312-n-k-no,,
Yum Thai Bistro,"1888 CA-1, Redondo Beach, CA 90277",Thai,Any,"This place is usually a prequel to the ice cream shop next door (see the Handel's description) but it is the perfect overture. Light, fresh Thai food with kind service and some of the best fried tofu as an appetizer. The Tom Kha is velvety yet still light from the bright lemongrass and lime juice, and the Pad Thai is the first one I've ever had and is by default the one I measure all the rest against. Don't fill all the way up though, Handel's is next door.",https://yumthaibistro.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweotpWq22ZwYi1jEmc769QBH5c7Vx9uykfv28hHx9zckhf5PDOJ7eYWIuTNRaymA25VDfRy0BPjeEnMphSoMUgTUwCD7M6hD3GI0LNr_yq86bC0AWRcKPmYQJidI_nk1cmY5o49CelA2WAUq=w289-h312-n-k-no,,
Handel's Ice Cream,"1882 S Pacific Coast Hwy, Redondo Beach, CA 90277",Dessert,Any,"I can't eat any other ice cream without wishing it was from this place. It's fresh, dense, and they do not skimp on the toppings. When I'm in the mood to chew my ice cream, I gravitate to the Oree-Dough, which has chocolate chip cookie dough and Oreo pieces scattered throughout a creamy vanilla base. However, if I just want to sit there and enjoy a scoop on a cone,  then I'd push you toward their cake batter flavor. It's exactly like yellow cake batter, but without the risk of salmonella. The list of flavors is a mile long, and there's something for everyone there. ",https://handelsicecream.com/store/redondo-beach/,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerCYqvPlZUyMlBY20tk8gGV7K5HtftmghdonKQAnRxtNhb_4Y41Hz6v3qQzWrY5L1BTC0_zM4R4pD4qGI7VWhaPvQM6Gz76bq2lIEBAXXbrYYF0tf8jJ6T3RrRVViXuZB8gCaCyLLDsU_w=s1360-w1360-h1020,,
Ko-Ryu Ramen,"24631 Crenshaw Blvd unit K, Torrance, CA 90505",Ramen,Any,"A little chill in the breeze? Head down to one of their two locations to ward it off. Their Koi Ramen is incredibly rich that warms you from the inside out because they use both chicken and pork in this tonkotsu-style broth. I like to get it with bamboo shoots for that texture, but there's a variety of additional toppings that can personalize the bowl to your taste. The gyoza appetizer is a great starter, and you can tell that they're made in house. The way they package it too is well-designed and travels well back to wherever you're staying.",https://koryuramen.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqWpB5NL0Iv-s7vnJIGY5RSrhurvQ_HFLJp9Y5e1ABbRqs4_EjrOTQHV1QK0ejyUy0f_g_KqTtnXSmOSBQwZsfuI0Hv_Y_cxeUt4JvnLzvbP5xVSDtN91zEge7TzFOoKwkg0rjZ=s1360-w1360-h1020,,
Ginza AYCE Sushi,"24215 Crenshaw Blvd, Torrance, CA 90505",Sushi,Any,"A great casual, neighborhood sushi spot that feels pretty authentic. This isn't the type of place to go to for omakase, but their specialty rolls are fresh and some have unique flavor combinations that have influence from all over the world. Conviently located and a good spur-of-the-moment place when you need a bite!",https://www.ginzasushitorrance.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodsXo08ITsXDQBtek2DPfWHJOS1jMo8ruD4cQ5o2AUozLIAn7pmgLAwoDmEm-SmA1411sMAFENa3Xp87tlDAskVrnTzogsjJF9hEHbHapu1XxCdi8MbWnm4VVrtmJIT2gJyouVBQ=w289-h312-n-k-no,,
